timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections
2026-06-01T00:16:30Z,58.81,10.3,1.5,0.31,0.12,347
2026-06-01T00:17:00Z,60.53,25.7,0.42,0.71,0.05,345
2026-06-01T00:17:30Z,57.69,25.0,0.99,0.54,0.09,359
2026-06-01T00:18:00Z,48.66,10.0,0.0,0.36,0.09,350
2026-06-01T00:18:30Z,49.49,41.4,0.0,0.42,0.2,365
2026-06-01T00:19:00Z,70.85,10.0,0.0,0.6,0.2,324
2026-06-01T00:19:30Z,56.98,10.0,0.0,0.08,0.12,375
2026-06-01T00:20:00Z,57.21,38.2,1.43,0.55,0.2,353
2026-06-01T00:20:30Z,60.98,10.0,0.0,0.79,0.23,343
2026-06-01T00:21:00Z,49.18,10.0,0.14,0.71,0.28,370
2026-06-01T00:21:30Z,69.8,31.4,0.0,0.12,0.22,362
2026-06-01T00:22:00Z,65.17,27.1,0.08,0.66,0.23,359
2026-06-01T00:22:30Z,60.89,22.2,1.5,0.47,0.06,323
2026-06-01T00:23:00Z,71.11,12.2,0.0,0.07,0.2,377
2026-06-01T00:23:30Z,56.71,10.0,0.46,0.43,0.06,341
2026-06-01T00:24:00Z,59.91,51.5,0.0,0.38,0.0,350
2026-06-01T00:24:30Z,62.62,10.0,0.13,0.78,0.14,365
2026-06-01T00:25:00Z,58.46,15.0,1.5,0.04,0.07,362
2026-06-01T00:25:30Z,67.25,30.0,0.0,0.11,0.19,368
2026-06-01T00:26:00Z,61.09,26.5,0.0,0.12,0.24,350
2026-06-01T00:26:30Z,60.42,31.7,1.16,0.5,0.11,339
2026-06-01T00:27:00Z,70.3,34.1,0.0,0.48,0.05,366
2026-06-01T00:27:30Z,61.35,10.0,0.0,0.79,0.29,355
2026-06-01T00:28:00Z,61.85,17.6,1.09,0.37,0.0,343
2026-06-01T00:28:30Z,50.44,24.3,0.53,0.34,0.07,354
2026-06-01T00:29:00Z,67.19,17.7,1.32,0.36,0.28,357
2026-06-01T00:29:30Z,62.83,31.4,0.0,0.59,0.13,343
2026-06-01T00:30:00Z,44.05,10.0,0.0,0.6,0.03,380
2026-06-01T00:30:30Z,68.83,26.4,0.0,0.46,0.19,362
2026-06-01T00:31:00Z,48.28,24.9,1.45,0.03,0.15,370
2026-06-01T00:31:30Z,63.68,10.0,0.84,0.57,0.13,338
2026-06-01T00:32:00Z,64.94,10.0,0.75,0.06,0.27,334
2026-06-01T00:32:30Z,61.12,27.5,1.5,0.21,0.04,354
2026-06-01T00:33:00Z,46.18,10.0,0.0,0.33,0.04,351
2026-06-01T00:33:30Z,61.97,10.0,0.04,0.71,0.29,363
2026-06-01T00:34:00Z,60.14,10.0,0.47,0.29,0.07,340
2026-06-01T00:34:30Z,61.36,15.7,0.31,0.43,0.06,344
2026-06-01T00:35:00Z,65.05,40.4,1.5,0.49,0.25,351
2026-06-01T00:35:30Z,67.58,35.6,0.0,0.04,0.27,349
2026-06-01T00:36:00Z,64.67,10.0,0.59,0.42,0.29,352
2026-06-01T00:36:30Z,52.83,10.0,0.0,0.76,0.27,345
2026-06-01T00:37:00Z,58.61,18.2,0.0,0.28,0.29,339
2026-06-01T00:37:30Z,61.7,16.5,0.0,0.49,0.25,341
2026-06-01T00:38:00Z,59.8,10.0,1.5,0.64,0.13,327
2026-06-01T00:38:30Z,43.73,63.6,0.0,0.1,0.08,332
2026-06-01T00:39:00Z,61.7,10.0,0.0,0.74,0.2,335
2026-06-01T00:39:30Z,59.83,48.7,0.76,0.33,0.17,359
2026-06-01T00:40:00Z,57.84,36.1,1.38,0.61,0.29,335
2026-06-01T00:40:30Z,46.89,22.0,0.0,0.2,0.25,345
2026-06-01T00:41:00Z,60.1,10.0,0.09,0.04,0.08,339
2026-06-01T00:41:30Z,61.23,32.5,1.07,0.41,0.24,330
2026-06-01T00:42:00Z,69.15,22.8,0.0,0.34,0.05,347
2026-06-01T00:42:30Z,53.15,17.9,0.09,0.33,0.1,351
2026-06-01T00:43:00Z,70.5,10.0,0.13,0.73,0.11,339
2026-06-01T00:43:30Z,63.94,13.2,0.52,0.8,0.29,355
2026-06-01T00:44:00Z,53.68,14.6,0.95,0.65,0.15,329
2026-06-01T00:44:30Z,53.92,41.0,0.32,0.58,0.13,343
2026-06-01T00:45:00Z,58.44,35.0,0.72,0.04,0.09,371
2026-06-01T00:45:30Z,58.39,26.6,0.0,0.59,0.18,342
2026-06-01T00:46:00Z,47.25,10.0,0.0,0.71,0.06,321
2026-06-01T00:46:30Z,43.15,10.0,1.5,0.27,0.03,339
2026-06-01T00:47:00Z,64.16,29.7,0.0,0.1,0.09,342
2026-06-01T00:47:30Z,70.98,18.7,0.45,0.48,0.04,326
2026-06-01T00:48:00Z,58.82,22.1,0.0,0.12,0.29,338
2026-06-01T00:48:30Z,55.24,11.9,0.57,0.06,0.14,350
2026-06-01T00:49:00Z,63.43,10.0,0.42,0.8,0.23,322
2026-06-01T00:49:30Z,66.76,10.0,0.0,0.52,0.0,336
2026-06-01T00:50:00Z,55.29,10.0,1.5,0.68,0.22,355
2026-06-01T00:50:30Z,60.58,36.5,0.68,0.56,0.06,342
2026-06-01T00:51:00Z,45.33,23.6,0.95,0.57,0.27,357
2026-06-01T00:51:30Z,53.1,10.0,0.17,0.44,0.04,349
2026-06-01T00:52:00Z,59.22,21.7,1.15,0.15,0.14,334
2026-06-01T00:52:30Z,54.87,16.8,1.5,0.06,0.12,341
2026-06-01T00:53:00Z,40.46,10.0,0.0,0.19,0.2,362
2026-06-01T00:53:30Z,51.22,10.0,0.0,0.75,0.05,343
2026-06-01T00:54:00Z,60.8,26.0,1.5,0.31,0.01,366
2026-06-01T00:54:30Z,69.19,10.0,0.0,0.32,0.07,364
2026-06-01T00:55:00Z,66.58,12.9,0.0,0.2,0.24,374
2026-06-01T00:55:30Z,62.53,21.8,0.17,0.28,0.18,337
2026-06-01T00:56:00Z,53.83,10.0,0.21,0.54,0.06,379
2026-06-01T00:56:30Z,66.52,10.0,0.0,0.08,0.1,363
2026-06-01T00:57:00Z,60.76,10.0,0.0,0.68,0.22,329
2026-06-01T00:57:30Z,58.98,47.3,0.0,0.51,0.25,320
2026-06-01T00:58:00Z,55.8,37.1,0.0,0.23,0.29,356
2026-06-01T00:58:30Z,64.15,31.4,0.03,0.63,0.02,343
2026-06-01T00:59:00Z,59.88,19.8,0.0,0.55,0.11,362
2026-06-01T00:59:30Z,46.7,27.1,1.5,0.11,0.25,337
2026-06-01T01:00:00Z,58.37,33.8,0.14,0.61,0.28,346
2026-06-01T01:00:30Z,52.9,17.4,0.0,0.55,0.05,330
2026-06-01T01:01:00Z,63.53,20.9,0.0,0.02,0.02,333
2026-06-01T01:01:30Z,59.56,10.0,0.0,0.79,0.06,320
2026-06-01T01:02:00Z,59.62,24.6,1.5,0.44,0.22,361
2026-06-01T01:02:30Z,61.48,10.0,0.02,0.07,0.29,339
2026-06-01T01:03:00Z,54.63,10.0,0.16,0.69,0.19,355
2026-06-01T01:03:30Z,44.62,10.0,0.31,0.53,0.13,325
2026-06-01T01:04:00Z,58.95,29.1,0.23,0.29,0.02,358
2026-06-01T01:04:30Z,58.57,22.8,0.02,0.67,0.14,369
2026-06-01T01:05:00Z,72.68,32.4,0.0,0.43,0.08,328
2026-06-01T01:05:30Z,54.47,25.3,1.5,0.07,0.09,349
2026-06-01T01:06:00Z,43.28,36.5,1.5,0.11,0.04,347
2026-06-01T01:06:30Z,55.77,31.5,1.05,0.19,0.1,330
2026-06-01T01:07:00Z,51.73,30.8,1.07,0.77,0.14,330
2026-06-01T01:07:30Z,57.56,10.0,0.0,0.6,0.01,353
2026-06-01T01:08:00Z,61.58,13.6,0.0,0.4,0.27,362
2026-06-01T01:08:30Z,58.62,12.2,0.72,0.08,0.18,341
2026-06-01T01:09:00Z,59.22,10.0,0.0,0.1,0.29,353
2026-06-01T01:09:30Z,58.69,22.3,0.0,0.06,0.24,340
2026-06-01T01:10:00Z,58.1,10.0,0.31,0.38,0.11,335
2026-06-01T01:10:30Z,52.55,16.0,0.0,0.6,0.18,346
2026-06-01T01:11:00Z,49.96,20.4,0.0,0.0,0.26,343
2026-06-01T01:11:30Z,40.7,23.0,0.0,0.27,0.24,357
2026-06-01T01:12:00Z,53.01,18.0,0.0,0.23,0.04,331
2026-06-01T01:12:30Z,60.82,10.0,0.24,0.36,0.05,344
2026-06-01T01:13:00Z,56.16,27.1,0.33,0.34,0.21,317
2026-06-01T01:13:30Z,65.11,23.3,0.44,0.17,0.17,352
2026-06-01T01:14:00Z,46.65,50.2,0.0,0.4,0.06,337
2026-06-01T01:14:30Z,59.14,11.0,0.0,0.18,0.02,317
2026-06-01T01:15:00Z,48.87,14.3,0.0,0.56,0.04,330
2026-06-01T01:15:30Z,63.91,28.0,0.8,0.01,0.01,328
2026-06-01T01:16:00Z,56.53,10.0,0.01,0.56,0.28,340
2026-06-01T01:16:30Z,62.73,26.3,0.0,0.0,0.12,347
2026-06-01T01:17:00Z,47.22,29.2,0.0,0.41,0.1,346
2026-06-01T01:17:30Z,51.51,42.8,0.0,0.47,0.17,336
2026-06-01T01:18:00Z,44.59,36.1,0.0,0.23,0.09,318
2026-06-01T01:18:30Z,64.48,15.4,1.22,0.02,0.29,338
2026-06-01T01:19:00Z,44.07,10.0,0.0,0.68,0.06,326
2026-06-01T01:19:30Z,60.66,33.9,0.97,0.58,0.11,330
2026-06-01T01:20:00Z,57.07,30.5,0.08,0.03,0.23,317
2026-06-01T01:20:30Z,59.63,30.8,0.08,0.25,0.12,350
2026-06-01T01:21:00Z,53.38,10.0,0.0,0.51,0.22,326
2026-06-01T01:21:30Z,63.64,43.0,0.0,0.03,0.13,338
2026-06-01T01:22:00Z,67.43,22.7,0.0,0.44,0.02,353
2026-06-01T01:22:30Z,60.25,48.3,0.36,0.59,0.11,327
2026-06-01T01:23:00Z,58.55,26.6,0.0,0.62,0.24,335
2026-06-01T01:23:30Z,48.62,23.0,0.0,0.44,0.27,338
2026-06-01T01:24:00Z,62.78,18.5,0.0,0.54,0.2,321
2026-06-01T01:24:30Z,56.0,16.4,0.0,0.11,0.17,360
2026-06-01T01:25:00Z,45.75,10.0,0.94,0.14,0.01,334
2026-06-01T01:25:30Z,62.02,46.1,0.85,0.16,0.12,335
2026-06-01T01:26:00Z,57.15,36.0,0.72,0.59,0.1,319
2026-06-01T01:26:30Z,55.3,43.3,1.24,0.73,0.25,326
2026-06-01T01:27:00Z,62.01,33.3,0.0,0.29,0.08,350
2026-06-01T01:27:30Z,59.53,19.2,0.0,0.11,0.12,341
2026-06-01T01:28:00Z,58.98,19.2,0.0,0.17,0.29,347
2026-06-01T01:28:30Z,51.34,17.5,1.5,0.79,0.2,328
2026-06-01T01:29:00Z,57.2,31.0,0.0,0.34,0.06,327
2026-06-01T01:29:30Z,46.07,60.6,0.0,0.72,0.07,322
2026-06-01T01:30:00Z,49.39,24.3,1.5,0.28,0.29,364
2026-06-01T01:30:30Z,52.77,10.0,0.13,0.55,0.03,326
2026-06-01T01:31:00Z,62.96,29.8,1.46,0.59,0.11,330
2026-06-01T01:31:30Z,56.43,11.7,0.23,0.14,0.09,345
2026-06-01T01:32:00Z,59.92,60.4,1.5,0.19,0.01,329
2026-06-01T01:32:30Z,41.82,16.4,0.01,0.47,0.24,358
2026-06-01T01:33:00Z,52.27,10.0,0.77,0.22,0.3,330
2026-06-01T01:33:30Z,39.76,19.5,1.08,0.79,0.25,346
2026-06-01T01:34:00Z,50.41,21.5,0.0,0.28,0.13,327
2026-06-01T01:34:30Z,50.14,16.7,0.0,0.74,0.24,330
2026-06-01T01:35:00Z,52.9,25.1,0.92,0.19,0.16,359
2026-06-01T01:35:30Z,55.94,27.6,0.45,0.48,0.09,348
2026-06-01T01:36:00Z,57.39,12.4,0.69,0.04,0.29,349
2026-06-01T01:36:30Z,59.62,33.0,0.61,0.55,0.2,365
2026-06-01T01:37:00Z,52.03,10.0,0.96,0.66,0.21,347
2026-06-01T01:37:30Z,60.73,10.0,0.0,0.31,0.26,312
2026-06-01T01:38:00Z,45.55,33.0,1.5,0.23,0.2,353
2026-06-01T01:38:30Z,59.66,10.0,0.47,0.05,0.28,331
2026-06-01T01:39:00Z,46.15,19.4,0.4,0.8,0.02,313
2026-06-01T01:39:30Z,46.08,21.2,0.0,0.6,0.21,312
2026-06-01T01:40:00Z,68.5,10.0,0.0,0.74,0.12,373
2026-06-01T01:40:30Z,51.52,41.9,0.0,0.43,0.28,347
2026-06-01T01:41:00Z,41.64,10.0,1.5,0.45,0.29,333
2026-06-01T01:41:30Z,59.76,29.6,1.21,0.2,0.02,315
2026-06-01T01:42:00Z,50.84,10.0,0.21,0.05,0.27,312
2026-06-01T01:42:30Z,56.23,24.0,0.0,0.34,0.13,340
2026-06-01T01:43:00Z,59.97,30.8,0.94,0.53,0.19,327
2026-06-01T01:43:30Z,39.6,11.3,0.35,0.01,0.05,328
2026-06-01T01:44:00Z,59.48,48.3,0.0,0.31,0.15,346
2026-06-01T01:44:30Z,52.3,22.8,1.5,0.17,0.06,312
2026-06-01T01:45:00Z,63.2,15.4,0.0,0.17,0.03,347
2026-06-01T01:45:30Z,56.55,10.0,1.14,0.52,0.16,348
2026-06-01T01:46:00Z,43.05,42.0,0.12,0.59,0.25,318
2026-06-01T01:46:30Z,58.67,10.0,0.0,0.34,0.29,339
2026-06-01T01:47:00Z,40.02,10.0,0.78,0.08,0.27,333
2026-06-01T01:47:30Z,56.38,10.0,0.0,0.49,0.02,317
2026-06-01T01:48:00Z,63.06,10.0,1.01,0.36,0.24,318
2026-06-01T01:48:30Z,67.23,27.3,1.5,0.17,0.23,330
2026-06-01T01:49:00Z,52.55,10.5,0.66,0.02,0.12,323
2026-06-01T01:49:30Z,52.72,37.2,1.25,0.42,0.13,341
2026-06-01T01:50:00Z,57.59,23.5,0.0,0.72,0.18,340
2026-06-01T01:50:30Z,51.05,10.0,0.0,0.57,0.24,318
2026-06-01T01:51:00Z,60.81,10.0,0.0,0.43,0.05,341
2026-06-01T01:51:30Z,53.7,10.0,0.0,0.49,0.19,338
2026-06-01T01:52:00Z,52.46,13.0,0.0,0.07,0.05,326
2026-06-01T01:52:30Z,54.04,15.7,0.37,0.65,0.13,339
2026-06-01T01:53:00Z,47.62,19.5,0.0,0.66,0.02,311
2026-06-01T01:53:30Z,44.85,27.0,0.21,0.48,0.2,348
2026-06-01T01:54:00Z,62.37,17.5,1.5,0.73,0.1,321
2026-06-01T01:54:30Z,67.64,14.1,0.0,0.66,0.12,324
2026-06-01T01:55:00Z,49.79,13.3,0.0,0.73,0.26,302
2026-06-01T01:55:30Z,50.56,10.0,0.15,0.34,0.08,319
2026-06-01T01:56:00Z,48.3,17.0,0.0,0.73,0.24,346
2026-06-01T01:56:30Z,50.0,28.2,0.58,0.56,0.14,322
2026-06-01T01:57:00Z,62.03,25.1,0.31,0.09,0.23,348
2026-06-01T01:57:30Z,52.23,42.3,0.48,0.72,0.01,348
2026-06-01T01:58:00Z,50.33,10.0,0.0,0.53,0.04,313
2026-06-01T01:58:30Z,56.76,20.5,0.0,0.15,0.17,335
2026-06-01T01:59:00Z,54.0,10.0,0.65,0.73,0.11,305
2026-06-01T01:59:30Z,43.81,37.6,0.0,0.62,0.13,327
2026-06-01T02:00:00Z,43.33,12.4,0.0,0.5,0.21,342
2026-06-01T02:00:30Z,41.52,32.8,0.0,0.24,0.08,338
2026-06-01T02:01:00Z,43.68,10.0,0.0,0.69,0.16,306
2026-06-01T02:01:30Z,45.01,10.0,0.0,0.61,0.17,343
2026-06-01T02:02:00Z,44.41,24.1,0.0,0.47,0.28,313
2026-06-01T02:02:30Z,50.6,15.1,0.54,0.28,0.11,333
2026-06-01T02:03:00Z,66.0,15.0,0.0,0.62,0.01,339
2026-06-01T02:03:30Z,57.52,31.8,0.0,0.06,0.03,332
2026-06-01T02:04:00Z,48.66,10.0,0.0,0.46,0.18,347
2026-06-01T02:04:30Z,42.4,14.9,0.74,0.4,0.26,310
2026-06-01T02:05:00Z,53.46,10.0,0.0,0.35,0.12,325
2026-06-01T02:05:30Z,49.32,20.5,0.0,0.62,0.03,337
2026-06-01T02:06:00Z,45.92,10.0,0.28,0.27,0.15,316
2026-06-01T02:06:30Z,55.56,33.2,0.0,0.44,0.05,331
2026-06-01T02:07:00Z,56.98,34.5,1.21,0.19,0.07,331
2026-06-01T02:07:30Z,49.62,22.0,0.0,0.07,0.27,322
2026-06-01T02:08:00Z,49.47,10.0,0.57,0.16,0.29,323
2026-06-01T02:08:30Z,54.51,10.0,1.09,0.48,0.15,321
2026-06-01T02:09:00Z,62.58,26.9,0.2,0.07,0.27,313
2026-06-01T02:09:30Z,54.9,19.9,0.75,0.51,0.26,316
2026-06-01T02:10:00Z,49.21,19.1,0.0,0.18,0.06,322
2026-06-01T02:10:30Z,44.57,25.4,0.0,0.2,0.28,324
2026-06-01T02:11:00Z,55.82,10.0,1.5,0.01,0.19,332
2026-06-01T02:11:30Z,62.19,61.0,0.0,0.05,0.27,335
2026-06-01T02:12:00Z,54.52,11.9,0.57,0.13,0.05,337
2026-06-01T02:12:30Z,51.34,10.0,0.97,0.4,0.12,312
2026-06-01T02:13:00Z,43.52,10.0,0.4,0.02,0.14,354
2026-06-01T02:13:30Z,54.15,31.9,0.4,0.75,0.15,328
2026-06-01T02:14:00Z,49.91,20.1,0.0,0.01,0.11,321
2026-06-01T02:14:30Z,44.39,11.7,0.0,0.54,0.26,351
2026-06-01T02:15:00Z,48.4,24.4,0.0,0.76,0.28,315
2026-06-01T02:15:30Z,35.8,22.6,0.0,0.03,0.27,306
2026-06-01T02:16:00Z,50.93,10.0,0.1,0.32,0.1,342
2026-06-01T02:16:30Z,59.33,37.1,0.0,0.22,0.07,337
2026-06-01T02:17:00Z,53.07,26.4,0.0,0.5,0.08,290
2026-06-01T02:17:30Z,41.35,11.8,0.0,0.67,0.12,333
2026-06-01T02:18:00Z,36.87,10.0,0.0,0.35,0.08,344
2026-06-01T02:18:30Z,57.48,25.8,1.5,0.63,0.22,317
2026-06-01T02:19:00Z,45.63,43.3,1.5,0.57,0.05,287
2026-06-01T02:19:30Z,54.02,20.3,0.0,0.19,0.09,343
2026-06-01T02:20:00Z,56.26,10.0,0.0,0.36,0.12,310
2026-06-01T02:20:30Z,59.98,22.7,0.38,0.72,0.12,304
2026-06-01T02:21:00Z,49.98,28.7,0.9,0.67,0.15,334
2026-06-01T02:21:30Z,49.74,21.3,0.0,0.53,0.29,331
2026-06-01T02:22:00Z,47.91,17.3,1.5,0.13,0.01,320
2026-06-01T02:22:30Z,53.29,28.1,0.0,0.78,0.25,296
2026-06-01T02:23:00Z,47.37,23.8,0.0,0.28,0.09,316
2026-06-01T02:23:30Z,50.27,10.0,0.0,0.09,0.16,325
2026-06-01T02:24:00Z,59.96,23.8,0.33,0.38,0.23,320
2026-06-01T02:24:30Z,50.97,10.0,0.0,0.64,0.22,344
2026-06-01T02:25:00Z,51.48,10.0,0.0,0.22,0.27,298
2026-06-01T02:25:30Z,53.94,25.9,0.0,0.53,0.22,305
2026-06-01T02:26:00Z,45.89,30.6,0.0,0.22,0.14,363
2026-06-01T02:26:30Z,41.31,10.0,0.53,0.28,0.27,336
2026-06-01T02:27:00Z,50.59,15.5,1.25,0.77,0.23,324
2026-06-01T02:27:30Z,52.73,33.9,0.0,0.77,0.06,333
2026-06-01T02:28:00Z,46.89,21.0,0.0,0.39,0.26,331
2026-06-01T02:28:30Z,42.88,46.8,0.0,0.2,0.19,338
2026-06-01T02:29:00Z,51.24,10.0,0.0,0.75,0.06,324
2026-06-01T02:29:30Z,49.78,22.1,0.0,0.39,0.2,312
2026-06-01T02:30:00Z,42.89,22.5,0.0,0.65,0.24,308
2026-06-01T02:30:30Z,48.21,10.0,0.26,0.14,0.1,343
2026-06-01T02:31:00Z,46.42,14.3,0.13,0.16,0.3,322
2026-06-01T02:31:30Z,55.8,10.0,0.0,0.64,0.25,312
2026-06-01T02:32:00Z,35.96,22.1,0.43,0.16,0.23,325
2026-06-01T02:32:30Z,47.25,10.3,1.33,0.2,0.21,341
2026-06-01T02:33:00Z,56.6,10.0,0.0,0.73,0.23,339
2026-06-01T02:33:30Z,41.48,26.8,0.0,0.07,0.11,333
2026-06-01T02:34:00Z,50.03,10.0,0.14,0.02,0.04,343
2026-06-01T02:34:30Z,44.97,18.9,0.0,0.4,0.24,336
2026-06-01T02:35:00Z,52.39,10.0,0.0,0.27,0.02,333
2026-06-01T02:35:30Z,43.79,39.4,0.0,0.71,0.15,330
2026-06-01T02:36:00Z,52.77,29.5,0.68,0.05,0.0,316
2026-06-01T02:36:30Z,46.89,30.8,0.0,0.45,0.23,329
2026-06-01T02:37:00Z,57.24,10.0,0.0,0.07,0.05,315
2026-06-01T02:37:30Z,37.0,25.9,0.91,0.52,0.04,339
2026-06-01T02:38:00Z,46.21,10.0,0.0,0.49,0.18,319
2026-06-01T02:38:30Z,48.51,21.4,0.0,0.63,0.29,347
2026-06-01T02:39:00Z,40.76,11.4,1.5,0.43,0.28,338
2026-06-01T02:39:30Z,60.22,21.0,0.0,0.4,0.11,306
2026-06-01T02:40:00Z,55.73,10.0,0.0,0.38,0.28,328
2026-06-01T02:40:30Z,41.0,36.1,0.0,0.34,0.08,323
2026-06-01T02:41:00Z,49.82,22.8,0.0,0.28,0.3,312
2026-06-01T02:41:30Z,42.92,45.1,0.0,0.02,0.17,334
2026-06-01T02:42:00Z,58.13,11.8,0.32,0.29,0.1,335
2026-06-01T02:42:30Z,66.19,40.2,0.0,0.32,0.04,327
2026-06-01T02:43:00Z,49.73,10.0,0.0,0.08,0.01,315
2026-06-01T02:43:30Z,37.21,14.7,1.5,0.77,0.02,319
2026-06-01T02:44:00Z,50.26,27.3,1.5,0.6,0.24,319
2026-06-01T02:44:30Z,53.76,19.9,1.5,0.17,0.24,346
2026-06-01T02:45:00Z,47.35,19.2,0.54,0.01,0.27,312
2026-06-01T02:45:30Z,50.65,10.6,0.33,0.65,0.07,324
2026-06-01T02:46:00Z,50.62,13.9,0.0,0.79,0.19,335
2026-06-01T02:46:30Z,55.03,54.3,0.0,0.54,0.18,316
2026-06-01T02:47:00Z,40.53,10.0,1.31,0.66,0.06,324
2026-06-01T02:47:30Z,46.03,31.6,0.0,0.38,0.2,330
2026-06-01T02:48:00Z,51.74,24.2,1.34,0.79,0.09,301
2026-06-01T02:48:30Z,46.61,10.0,0.31,0.62,0.09,321
2026-06-01T02:49:00Z,43.94,24.0,0.0,0.34,0.13,346
2026-06-01T02:49:30Z,47.89,10.0,0.0,0.51,0.2,305
2026-06-01T02:50:00Z,42.58,41.6,0.16,0.14,0.1,316
2026-06-01T02:50:30Z,57.63,40.0,0.4,0.55,0.1,329
2026-06-01T02:51:00Z,57.62,37.8,0.03,0.37,0.16,297
2026-06-01T02:51:30Z,42.17,10.0,0.2,0.2,0.1,331
2026-06-01T02:52:00Z,47.63,34.5,0.21,0.31,0.12,303
2026-06-01T02:52:30Z,39.74,11.9,0.0,0.19,0.04,324
2026-06-01T02:53:00Z,48.05,34.0,0.0,0.17,0.25,340
2026-06-01T02:53:30Z,52.45,17.7,0.74,0.34,0.24,348
2026-06-01T02:54:00Z,51.53,33.0,0.48,0.38,0.09,304
2026-06-01T02:54:30Z,53.98,14.6,0.0,0.36,0.26,314
2026-06-01T02:55:00Z,45.46,10.0,0.73,0.08,0.13,313
2026-06-01T02:55:30Z,48.39,25.4,0.0,0.15,0.22,299
2026-06-01T02:56:00Z,42.26,10.0,0.0,0.74,0.12,303
2026-06-01T02:56:30Z,47.19,20.8,0.0,0.4,0.08,316
2026-06-01T02:57:00Z,46.35,37.3,0.38,0.67,0.19,331
2026-06-01T02:57:30Z,46.01,10.0,0.0,0.52,0.08,325
2026-06-01T02:58:00Z,46.98,30.6,0.41,0.71,0.15,337
2026-06-01T02:58:30Z,42.63,10.0,1.5,0.14,0.28,343
2026-06-01T02:59:00Z,64.33,31.1,0.0,0.71,0.04,323
2026-06-01T02:59:30Z,40.31,19.2,0.34,0.11,0.22,343
2026-06-01T03:00:00Z,53.16,16.3,0.0,0.59,0.0,340
2026-06-01T03:00:30Z,45.61,23.7,1.23,0.71,0.09,333
2026-06-01T03:01:00Z,45.64,10.0,0.0,0.27,0.17,303
2026-06-01T03:01:30Z,48.5,13.1,0.0,0.04,0.28,305
2026-06-01T03:02:00Z,49.99,12.0,0.0,0.21,0.29,307
2026-06-01T03:02:30Z,46.11,10.0,0.0,0.6,0.61,360
2026-06-01T03:03:00Z,60.76,35.8,0.0,0.26,0.47,340
2026-06-01T03:03:30Z,43.2,17.2,0.71,0.14,1.01,308
2026-06-01T03:04:00Z,46.01,10.0,0.0,0.45,0.93,303
2026-06-01T03:04:30Z,56.99,10.0,0.0,0.57,1.34,336
2026-06-01T03:05:00Z,39.27,12.8,0.0,0.05,0.85,328
2026-06-01T03:05:30Z,49.21,20.0,1.11,0.25,1.28,324
2026-06-01T03:06:00Z,60.72,27.0,0.65,0.65,1.96,297
2026-06-01T03:06:30Z,34.88,14.7,0.75,0.37,1.16,313
